Checkbox ID                  	OMR Outcome                  	Score                        
-----------                  	-----------                  	-----                        
less_than_20                 	Filled                       	0.12173202614379085          
greater_than_35              	Empty                        	0.0014619883040935672        
shorter_than_145             	Checked                      	0.09663865546218488          
no_prior_deliveries          	Checked                      	0.07057057057057058          
more_than_4_prior_deliveries 	Empty                        	0.0                          
abortion_yes                 	Empty                        	0.0                          
edema_yes                    	Checked                      	0.07837837837837838          
seizure_yes                  	Empty                        	0.0                          
vaginal_delivery_yes         	Empty                        	0.0                          
caesarian_section_yes        	Empty                        	0.0006578947368421052        
prolonged_labor_yes          	Checked                      	0.06685633001422475          
placenta_previa_yes          	Checked                      	0.07407407407407407          
retained_placenta_yes        	Empty                        	0.0                          
retained_placenta_no         	Checked                      	0.04988913525498891          
placenta_previa_no           	Empty                        	0.0005537098560354374        
prolonged_labor_no           	Empty                        	0.0017441860465116279        
caesarian_section_no         	Checked                      	0.052954292084726864         
vaginal_delivery_no          	Checked                      	0.054878048780487805         
seizure_no                   	Checked                      	0.06855791962174941          
edema_no                     	Empty                        	0.0                          
abortion_no                  	Checked                      	0.075                        
vaginal_bleed_during_preg_yes	Empty                        	0.0006578947368421052        
vaginal_bleed_during_preg_no 	Checked                      	0.08664955070603338          
vaginal_bleed_after_preg_no  	Empty                        	0.0006925207756232687        
puerperal_sepsis_no          	Checked                      	0.05384615384615385          
vaginal_bleed_after_preg_yes 	Checked                      	0.07697368421052632          
puerperal_sepsis_yes         	Empty                        	0.0                          
preterm_labor_yes            	Empty                        	0.007638888888888889         
stillbirths_yes              	Empty                        	0.0007112375533428165        
low_birth_weight_yes         	Checked                      	0.08434547908232119          
neonatal_death_yes           	Empty                        	0.0013157894736842105        
history_std_yes              	Empty                        	0.0020833333333333333        
history_surgical_yes         	Checked                      	0.0713899405083829           
explain_surg_hist_yes        	Empty                        	0.0                          
explain_surg_hist_no         	Checked                      	0.09365079365079365          
history_surgical_no          	Empty                        	0.0015037593984962407        
history_std_no               	Checked                      	0.08571428571428572          
neonatal_death_no            	Checked                      	0.0798611111111111           
low_birth_weight_no          	Empty                        	0.0020833333333333333        
stillbirths_no               	Checked                      	0.06975308641975309          
preterm_labor_no             	Checked                      	0.09534534534534535          
