Checkbox ID                  	OMR Outcome                  	Score                        
-----------                  	-----------                  	-----                        
less_than_20                 	Checked                      	0.29901960784313725          
greater_than_35              	Empty                        	0.0                          
shorter_than_145             	Checked                      	0.1991596638655462           
no_prior_deliveries          	Checked                      	0.13663663663663664          
more_than_4_prior_deliveries 	Empty                        	0.0                          
abortion_yes                 	Empty                        	0.0                          
edema_yes                    	Checked                      	0.09932432432432432          
seizure_yes                  	Empty                        	0.0                          
vaginal_delivery_yes         	Empty                        	0.0                          
caesarian_section_yes        	Empty                        	0.0                          
prolonged_labor_yes          	Checked                      	0.08108108108108109          
placenta_previa_yes          	Checked                      	0.09259259259259259          
retained_placenta_yes        	Empty                        	0.0                          
retained_placenta_no         	Checked                      	0.05044345898004435          
placenta_previa_no           	Empty                        	0.0                          
prolonged_labor_no           	Empty                        	0.0                          
caesarian_section_no         	Checked                      	0.07413600891861762          
vaginal_delivery_no          	Checked                      	0.0676829268292683           
seizure_no                   	Checked                      	0.09692671394799054          
edema_no                     	Empty                        	0.0                          
abortion_no                  	Checked                      	0.15723684210526315          
vaginal_bleed_during_preg_yes	Empty                        	0.0                          
vaginal_bleed_during_preg_no 	Checked                      	0.16944801026957637          
vaginal_bleed_after_preg_no  	Empty                        	0.0                          
puerperal_sepsis_no          	Checked                      	0.07051282051282051          
vaginal_bleed_after_preg_yes 	Checked                      	0.07039473684210526          
puerperal_sepsis_yes         	Empty                        	0.0                          
preterm_labor_yes            	Empty                        	0.0                          
stillbirths_yes              	Empty                        	0.0                          
low_birth_weight_yes         	Checked                      	0.20512820512820512          
neonatal_death_yes           	Empty                        	0.0                          
history_std_yes              	Empty                        	0.0                          
history_surgical_yes         	Checked                      	0.21200648999459168          
explain_surg_hist_yes        	Empty                        	0.0008417508417508417        
explain_surg_hist_no         	Checked                      	0.2571428571428571           
history_surgical_no          	Empty                        	0.0                          
history_std_no               	Checked                      	0.20418118466898955          
neonatal_death_no            	Checked                      	0.20069444444444445          
low_birth_weight_no          	Empty                        	0.0                          
stillbirths_no               	Checked                      	0.17777777777777778          
preterm_labor_no             	Checked                      	0.25375375375375375          
